test_id,config,faithfulness,kind
002af1e8e4bf3974,B1,0.8,usable
002af1e8e4bf3974,M,0.7692307692307693,usable
002af1e8e4bf3974,M_vision,1.0,usable
02a07ad9c7a29286,B1,1.0,usable
02a07ad9c7a29286,M,1.0,usable
02a07ad9c7a29286,M_vision,1.0,usable
034a3d7c21a3f270,B1,0.8571428571428571,soft
034a3d7c21a3f270,M,0.8333333333333334,soft
034a3d7c21a3f270,M_vision,0.8,soft
060d93d8f53ccd70,B1,0.75,usable
060d93d8f53ccd70,M,0.9,soft
060d93d8f53ccd70,M_vision,0.6,soft
06651158c9ca9498,B1,0.9,usable
06651158c9ca9498,M,0.875,usable
06651158c9ca9498,M_vision,0.875,usable
070956fe9747473b,B1,1.0,usable
070956fe9747473b,M,1.0,usable
070956fe9747473b,M_vision,1.0,usable
0a5fa0a6fc09ec39,B1,1.0,usable
0a5fa0a6fc09ec39,M,0.8,usable
0a5fa0a6fc09ec39,M_vision,0.9,usable
0c1244b85425067a,M,1.0,soft
0e6583e389cfc5a6,B1,0.42857142857142855,soft
0e6583e389cfc5a6,M,0.5,soft
0e6583e389cfc5a6,M_vision,0.5,soft
11bc3fc1cb900287,B1,0.875,usable
11bc3fc1cb900287,M,1.0,usable
11bc3fc1cb900287,M_vision,1.0,usable
11d52b61cdba900c,B1,1.0,soft
11d52b61cdba900c,M,1.0,soft
11d52b61cdba900c,M_vision,0.4,soft
12f660940b0b8702,B1,1.0,soft
12f660940b0b8702,M,1.0,soft
12f660940b0b8702,M_vision,1.0,soft
13c083b411295814,B1,1.0,soft
13c083b411295814,M,0.8333333333333334,usable
13c083b411295814,M_vision,1.0,usable
167cf0b032cd2d1e,B1,0.6,usable
167cf0b032cd2d1e,M,0.75,usable
167cf0b032cd2d1e,M_vision,0.9,usable
17821b777b38e1fd,B1,0.7142857142857143,soft
17821b777b38e1fd,M,0.5,soft
18217c4c4f140dea,B1,1.0,usable
18217c4c4f140dea,M,0.875,usable
18217c4c4f140dea,M_vision,0.9,usable
1c2cf0692ea35a78,M_vision,1.0,soft
1df3b50ae50946fa,M,1.0,soft
1df3b50ae50946fa,M_vision,0.7142857142857143,soft
22c6ee9fcb3b716b,B1,0.8888888888888888,usable
22c6ee9fcb3b716b,M,0.8888888888888888,usable
22c6ee9fcb3b716b,M_vision,0.9090909090909091,usable
24bb2451c2227bdb,B1,1.0,soft
24bb2451c2227bdb,M,1.0,soft
24bb2451c2227bdb,M_vision,1.0,soft
25c305df41b8b691,B1,0.8888888888888888,usable
25c305df41b8b691,M,0.8888888888888888,usable
25c305df41b8b691,M_vision,0.8888888888888888,usable
2aa2baad76ce9105,B1,0.8888888888888888,usable
2aa2baad76ce9105,M,0.8888888888888888,usable
2aa2baad76ce9105,M_vision,1.0,usable
2ab5928f5a6477c1,B1,0.75,soft
2ab5928f5a6477c1,M,0.5,soft
2ab5928f5a6477c1,M_vision,0.8333333333333334,soft
2ae4c40adbe60b84,B1,1.0,soft
2ae4c40adbe60b84,M,1.0,soft
2ae4c40adbe60b84,M_vision,1.0,soft
2e89eac0a0d9ce9c,B1,0.75,usable
2e89eac0a0d9ce9c,M,0.75,usable
2e89eac0a0d9ce9c,M_vision,0.6666666666666666,usable
30b5c4969ddfed66,B1,0.8333333333333334,soft
30b5c4969ddfed66,M,0.8571428571428571,soft
30b5c4969ddfed66,M_vision,0.8571428571428571,soft
3250774db0f2ceca,B1,0.9375,usable
3250774db0f2ceca,M,0.7692307692307693,usable
3250774db0f2ceca,M_vision,1.0,usable
32fa8e95b3adaff4,M_vision,0.5,soft
33a8425b41c07497,B1,0.8333333333333334,soft
33a8425b41c07497,M,0.8571428571428571,soft
33a8425b41c07497,M_vision,0.8888888888888888,usable
3450b9174d976c15,B1,0.875,usable
3450b9174d976c15,M,0.8181818181818182,usable
3450b9174d976c15,M_vision,1.0,usable
35a04bfdc772d2e8,B1,0.6666666666666666,soft
35a04bfdc772d2e8,M,1.0,usable
35a04bfdc772d2e8,M_vision,1.0,usable
36dc75121099f9ca,B1,0.8333333333333334,usable
36dc75121099f9ca,M,1.0,usable
36dc75121099f9ca,M_vision,1.0,usable
39d02c1623a3088c,B1,1.0,usable
39d02c1623a3088c,M,0.75,usable
39d02c1623a3088c,M_vision,1.0,usable
3acaee9a1831b6b2,B1,0.8888888888888888,usable
3acaee9a1831b6b2,M,1.0,usable
3acaee9a1831b6b2,M_vision,0.7142857142857143,usable
40476177bdae3546,B1,1.0,usable
40476177bdae3546,M,1.0,usable
40476177bdae3546,M_vision,1.0,usable
409d46ae981738b3,B1,0.5454545454545454,usable
409d46ae981738b3,M,0.5,usable
409d46ae981738b3,M_vision,0.6666666666666666,usable
44846523b270808f,B1,1.0,usable
44846523b270808f,M,1.0,usable
44846523b270808f,M_vision,1.0,usable
448ccf42cc5a7140,B1,0.9,usable
448ccf42cc5a7140,M,1.0,usable
448ccf42cc5a7140,M_vision,1.0,usable
456c5fb4db72d56e,M,0.8571428571428571,soft
456c5fb4db72d56e,M_vision,1.0,soft
46d78553421a9646,B1,0.8,usable
46d78553421a9646,M,1.0,usable
46d78553421a9646,M_vision,1.0,usable
48b2b37a17d2de45,B1,0.8888888888888888,usable
48b2b37a17d2de45,M,0.9,usable
48b2b37a17d2de45,M_vision,0.9090909090909091,usable
4a1978d8e88bb37b,B1,1.0,usable
4a1978d8e88bb37b,M,1.0,usable
4a1978d8e88bb37b,M_vision,0.7,usable
4aca9f5642c12ea8,B1,0.9090909090909091,usable
4aca9f5642c12ea8,M,1.0,usable
4aca9f5642c12ea8,M_vision,1.0,usable
4c21833078b5508a,B1,0.5,soft
4c21833078b5508a,M,0.4,usable
4c21833078b5508a,M_vision,1.0,usable
4d2083c00f2c7207,M,0.8571428571428571,soft
4d2083c00f2c7207,M_vision,0.42857142857142855,soft
4f0231cf23c94485,B1,1.0,usable
4f0231cf23c94485,M,1.0,usable
4f0231cf23c94485,M_vision,1.0,usable
4fc56eef6e4eb4d7,B1,1.0,soft
4fc56eef6e4eb4d7,M,1.0,soft
556da39750eea302,B1,0.6363636363636364,usable
556da39750eea302,M,0.8181818181818182,usable
556da39750eea302,M_vision,0.8,usable
598b27da8ac1d2b4,M,0.8571428571428571,soft
5bfd52b6f1c5d51e,B1,0.7777777777777778,usable
5bfd52b6f1c5d51e,M,1.0,usable
5bfd52b6f1c5d51e,M_vision,0.8888888888888888,usable
